Order_ID,Order_Date,Customer_ID,Customer_Name,Region,City,Category,Sub_Category,Product_Name,Quantity,Price,Discount,Payment_Mode,Shipping_Cost,Profit
ORD100051,2025-10-07,10459,Pooja Sharma,South,Bengaluru,Home & Kitchen,Kitchen Appliances,Mixer Grinder,1,2968.49,10.0,Card,145.15,814.91
ORD100052,2025-12-19,10648,Kavya Shah,North,Delhi,Home & Kitchen,Kitchen Appliances,Mixer Grinder,1,4097.48,0.0,Card,58.4,645.99
ORD100053,2025-10-27,10067,Nikhil Kumar,North,Delhi,Electronics,Laptop,Laptop,1,59985.09,10.0,Net Banking,307.97,12377.6
ORD100054,2025-02-05,10442,Aditya Sharma,West,Pune,Clothing,Men Clothing,Jacket,5,3722.36,15.0,UPI,201.98,4071.02
ORD100055,2025-01-03,10648,Kavya Shah,West,Surat,Clothing,Men Clothing,Jacket,4,2321.25,5.0,UPI,446.84,779.07
ORD100056,2025-08-19,10406,Vivaan Shah,East,Kolkata,Home & Kitchen,Kitchen,Cookware Set,3,4355.64,10.0,UPI,56.51,4052.65
ORD100057,2025-11-27,10449,Priya Joshi,North,Delhi,Clothing,Footwear,Sneakers,3,2974.75,20.0,COD,97.94,1155.51
ORD100058,2025-08-27,10012,Sneha Joshi,East,Ranchi,Beauty,Haircare,Shampoo,1,785.76,10.0,Card,253.64,-117.56
ORD100059,2025-06-12,10399,Pooja Kumar,North,Jaipur,Clothing,Men Clothing,T-Shirt,1,1164.45,5.0,Net Banking,299.21,-115.4
ORD100060,2025-12-02,10110,Kavya Joshi,North,Chandigarh,Clothing,Men Clothing,T-Shirt,3,592.32,,Card,91.48,363.42
ORD100061,2025-01-12,10173,Vivaan Mehta,North,Chandigarh,Clothing,Men Clothing,Jacket,5,3013.74,5.0,Card,214.59,4831.93
ORD100062,2025-05-31,10060,Isha Malhotra,East,Kolkata,Electronics,Laptop,Laptop,1,47760.73,15.0,Card,54.43,4871.35
ORD100063,2025-05-29,10099,Kavya Sharma,North,Lucknow,Electronics,Accessories,Wireless Earbuds,1,2352.45,0.0,Card,56.16,526.19
ORD100064,2025-11-04,10221,Kavya Patel,West,Mumbai,Electronics,Wearables,Smart Watch,2,10556.15,10.0,COD,200.02,3789.07
ORD100065,2025-05-13,10598,Arjun Gupta,South,Hyderabad,Clothing,Footwear,Sneakers,1,3547.85,5.0,UPI,139.12,475.4
ORD100066,2025-08-30,10213,Rahul Singh,North,Jaipur,Home & Kitchen,Home Decor,Table Lamp,2,1057.94,0.0,UPI,185.99,471.79
ORD100067,2025-07-15,10510,Simran Joshi,East,Kolkata,Beauty,Haircare,Hair Dryer,3,1608.69,10.0,COD,287.91,391.9
ORD100068,2025-01-17,10192,Aarav Verma,South,Chennai,Sports,Fitness,Yoga Mat,2,1725.68,15.0,UPI,147.33,257.86
ORD100069,2025-03-20,10200,Meera Patel,South,Kochi,Clothing,Women Clothing,Kurta,4,1511.12,20.0,UPI,445.08,835.14
ORD100070,2025-04-19,10385,Nikhil Mehta,North,Lucknow,Electronics,Accessories,Wireless Earbuds,3,1600.4,0.0,Card,192.79,1055.01
ORD100071,2025-02-20,10540,Ananya Gupta,West,Surat,Beauty,Fragrance,Perfume,1,1114.87,10.0,COD,141.32,234.5
ORD100072,2025-02-18,10329,Meera Joshi,North,Lucknow,Sports,Fitness,Yoga Mat,1,838.93,0.0,Net Banking,230.87,-107.47
ORD100073,2025-09-26,10374,Pooja Joshi,South,Kochi,Electronics,Laptop,Laptop,2,78663.29,15.0,Card,83.8,38971.4
ORD100074,2025-04-24,10124,Simran Sharma,West,Ahmedabad,Electronics,Accessories,Wireless Earbuds,4,2114.63,0.0,UPI,402.51,1391.45
ORD100075,2025-01-18,10233,Arjun Malhotra,South,Kochi,Clothing,Men Clothing,T-Shirt,2,643.17,25.0,COD,264.28,57.03
ORD100076,2025-01-22,10345,Karan Verma,North,Lucknow,Home & Kitchen,Home Furnishing,Bedsheet,2,1983.1,0.0,Card,68.59,443.31
ORD100077,2025-06-20,10278,Arjun Kumar,East,Patna,Beauty,Haircare,Hair Dryer,3,2858.56,10.0,UPI,93.66,2651.08
ORD100078,2025-05-24,10186,Neha Gupta,East,Kolkata,Beauty,Haircare,Shampoo,3,967.54,20.0,UPI,111.46,239.75
ORD100079,2025-04-22,10066,Aditi Mehta,East,Kolkata,Home & Kitchen,Home Furnishing,Bedsheet,3,1653.03,0.0,COD,44.83,878.1
ORD100080,2025-08-31,10587,Rahul Joshi,North,Chandigarh,Beauty,Skincare,Face Cream,3,864.38,10.0,UPI,191.86,304.6
ORD100081,2025-11-06,10469,Simran Sharma,West,Pune,Home & Kitchen,Home Decor,Table Lamp,2,705.79,10.0,UPI,363.56,88.48
ORD100082,2025-07-05,10336,Aditya Verma,East,Ranchi,Clothing,Women Clothing,Kurta,2,1709.19,10.0,Card,368.1,585.16
ORD100083,2025-06-01,10406,Vivaan Shah,West,Mumbai,Home & Kitchen,Home Furnishing,Bedsheet,1,2091.3,10.0,COD,247.25,252.56
ORD100084,2025-11-15,10146,Vikram Sharma,North,Jaipur,Home & Kitchen,Kitchen Appliances,Mixer Grinder,1,5192.01,10.0,Net Banking,421.91,573.09
ORD100085,2025-07-17,10399,Pooja Kumar,South,Kochi,Clothing,Women Clothing,Kurta,5,2045.0,10.0,Net Banking,115.23,2028.56
ORD100086,2025-04-28,10254,Rahul Gupta,West,Ahmedabad,Electronics,Smartphone,Mobile Phone,1,31988.13,5.0,Net Banking,138.9,8014.07
ORD100087,2025-03-15,10049,Isha Mehta,West,Mumbai,Clothing,Men Clothing,Jacket,4,3971.07,10.0,UPI,409.64,1642.65
ORD100088,2025-07-07,10364,Karan Malhotra,West,Surat,Beauty,Skincare,Face Cream,1,1407.15,5.0,UPI,148.75,343.73
ORD100089,2025-04-30,10270,Karan Malhotra,North,Jaipur,Electronics,Wearables,Smart Watch,5,6026.47,5.0,COD,142.62,9571.26
ORD100090,2025-01-21,10441,Rohan Mehta,West,Ahmedabad,Electronics,Laptop,Laptop,2,63499.3,5.0,COD,39.17,24985.14
ORD100091,2025-06-03,10426,Simran Sharma,West,Ahmedabad,Sports,Fitness,Dumbbells,1,2040.63,10.0,Net Banking,137.74,247.78
ORD100092,2025-06-10,10384,Meera Shah,North,Lucknow,Clothing,Women Clothing,Kurta,1,1105.57,5.0,COD,265.71,-9.52
ORD100093,2025-03-27,10423,Nikhil Patel,North,Chandigarh,Clothing,Women Clothing,Kurta,2,1803.22,0.0,COD,210.02,1028.25
ORD100094,2025-05-05,10144,Rahul Gupta,East,Kolkata,Home & Kitchen,Kitchen Appliances,Air Fryer,3,5388.82,15.0,UPI,179.51,1547.85
ORD100095,2025-06-03,10532,Nikhil Verma,West,Mumbai,Electronics,Audio,Bluetooth Speaker,1,6491.86,10.0,UPI,398.69,485.36
ORD100096,2025-03-07,10026,Pooja Gupta,West,Ahmedabad,Sports,Cricket,Cricket Bat,1,3890.8,20.0,Card,239.08,858.36
ORD100097,2025-09-24,10307,Aarav Patel,East,Kolkata,Clothing,Women Clothing,Kurta,1,1641.99,5.0,COD,272.59,62.8
ORD100098,2025-11-12,10554,Simran Patel,West,Ahmedabad,Electronics,Laptop,Laptop,2,80696.76,5.0,COD,410.58,46813.91
ORD100099,2025-04-11,10619,Aditya Verma,West,Mumbai,Home & Kitchen,Home Decor,Table Lamp,2,1807.54,0.0,COD,367.51,531.37
ORD100100,2025-06-07,10533,Aarav Gupta,West,Ahmedabad,Clothing,Footwear,Sneakers,2,2497.01,20.0,Card,98.14,1406.95
ORD100101,2025-05-13,10382,Meera Shah,East,Kolkata,Electronics,Wearables,Smart Watch,5,5699.98,5.0,Net Banking,76.51,4864.89
ORD100102,2025-08-01,10457,Priya Gupta,West,Pune,Beauty,Skincare,Face Cream,1,1283.11,15.0,Card,132.62,249.8
ORD100103,2025-02-10,10546,Aditya Shah,North,Delhi,Electronics,Wearables,Smart Watch,3,4316.97,10.0,Card,272.44,1920.04
ORD100104,2025-07-31,10289,Rohan Malhotra,West,Pune,Sports,Team Sports,Football,3,638.25,5.0,UPI,316.3,295.88
ORD100105,2025-10-30,10516,Vikram Gupta,East,Kolkata,Beauty,Fragrance,Perfume,1,1480.46,0.0,UPI,304.33,-102.93
ORD100106,2025-07-29,10207,Neha Kumar,West,Ahmedabad,Beauty,Skincare,Face Cream,2,1349.07,0.0,UPI,193.7,565.37
ORD100107,2025-11-30,10542,Nikhil Verma,North,Delhi,Home & Kitchen,Home Furnishing,Bedsheet,2,634.2,5.0,UPI,435.82,-17.86
ORD100108,2025-07-20,10275,Simran Sharma,West,Pune,Sports,Cricket,Cricket Bat,3,6894.43,10.0,Card,293.86,4201.73
ORD100109,2025-10-13,10465,Nikhil Kumar,East,Ranchi,Electronics,Audio,Bluetooth Speaker,1,5316.46,5.0,COD,61.18,1560.83
ORD100110,2025-12-27,10514,Vivaan Mehta,West,Mumbai,Electronics,Wearables,Smart Watch,1,5733.86,25.0,Card,253.15,443.86
ORD100111,2025-09-12,10469,Simran Sharma,South,Kochi,Home & Kitchen,Kitchen Appliances,Air Fryer,2,5140.0,0.0,Card,339.78,2162.76
ORD100112,2025-10-28,10008,Vivaan Shah,North,Jaipur,Beauty,Skincare,Face Wash,2,249.32,20.0,Card,87.76,28.48
ORD100113,2025-10-03,10550,Aarav Shah,North,Chandigarh,Home & Kitchen,Home Furnishing,Bedsheet,3,1815.25,10.0,UPI,128.36,731.53
ORD100114,2025-12-27,10347,Vivaan Singh,West,Surat,Sports,Cricket,Cricket Bat,2,4877.8,0.0,UPI,181.98,2326.69
ORD100115,2025-04-03,10449,Priya Joshi,North,Lucknow,Electronics,Laptop,Laptop,2,73013.39,5.0,Card,229.2,31174.7
ORD100116,2025-12-19,10404,Rahul Kumar,East,Kolkata,Electronics,Accessories,Wireless Earbuds,1,4249.83,10.0,Card,153.27,373.58
ORD100117,2025-07-02,10571,Sneha Shah,South,Bengaluru,Electronics,Smartphone,Mobile Phone,3,31325.76,10.0,Net Banking,85.23,26013.47
ORD100118,2025-09-25,10109,Priya Sharma,South,Kochi,Home & Kitchen,Home Decor,Table Lamp,2,1234.11,10.0,Net Banking,332.99,12.77
ORD100119,2025-06-10,10324,Rohan Gupta,North,Chandigarh,Electronics,Smartphone,Mobile Phone,2,27964.43,0.0,Card,345.49,19874.92
ORD100120,2025-07-21,10105,Simran Mehta,North,Jaipur,Home & Kitchen,Kitchen Appliances,Air Fryer,1,7358.8,0.0,Card,413.58,1210.73
ORD100121,2025-04-03,10514,Vivaan Mehta,West,Surat,Home & Kitchen,Home Decor,Table Lamp,1,1661.14,0.0,UPI,207.25,296.56
ORD100122,2025-03-03,10213,Rahul Singh,East,Kolkata,Clothing,Footwear,Sneakers,2,3241.3,10.0,Card,385.15,781.44
ORD100123,2025-01-30,10634,Pooja Malhotra,South,Hyderabad,Electronics,Smartphone,Mobile Phone,2,39556.27,15.0,COD,414.99,17603.07
ORD100124,2025-04-10,10118,Rahul Mehta,South,Kochi,Electronics,Accessories,Wireless Earbuds,1,3198.09,10.0,UPI,301.21,759.03
ORD100125,2025-05-06,10202,Meera Singh,West,Ahmedabad,Electronics,Audio,Bluetooth Speaker,2,2427.81,15.0,Card,383.52,562.21
ORD100126,2025-11-21,10434,Neha Patel,East,Patna,Home & Kitchen,Home Decor,Table Lamp,1,2459.41,10.0,UPI,71.71,649.21
ORD100127,2025-11-11,10262,Rahul Gupta,West,Ahmedabad,Electronics,Laptop,Laptop,1,66953.3,0.0,COD,185.57,18732.16
ORD100128,2025-10-12,10201,Pooja Sharma,East,Bhubaneswar,Home & Kitchen,Kitchen,Cookware Set,1,5836.77,5.0,Card,172.96,1153.58
ORD100129,2025-12-09,10379,Aditya Singh,North,Delhi,Home & Kitchen,Home Decor,Table Lamp,2,1244.2,5.0,UPI,54.21,633.62
ORD100130,2025-04-02,10499,Isha Kumar,South,Kochi,Beauty,Skincare,Face Cream,2,1499.66,0.0,COD,117.07,412.55
ORD100131,2025-12-07,10165,Neha Mehta,West,Pune,Home & Kitchen,Kitchen Appliances,Mixer Grinder,1,6336.51,10.0,Net Banking,85.6,1202.2
ORD100132,2025-05-29,10246,Simran Joshi,East,Bhubaneswar,Home & Kitchen,Kitchen,Cookware Set,3,4107.15,0.0,Card,226.05,4345.7
ORD100133,2025-07-02,10582,Rahul Kumar,West,Ahmedabad,Clothing,Men Clothing,Jacket,1,2500.24,0.0,COD,192.35,425.38
ORD100134,2025-04-02,10082,Vikram Sharma,East,Bhubaneswar,Home & Kitchen,Home Decor,Table Lamp,3,2076.15,10.0,Net Banking,114.2,1856.68
ORD100135,2025-03-04,10147,Sneha Patel,West,Mumbai,Home & Kitchen,Kitchen Appliances,Mixer Grinder,4,4517.44,10.0,Card,419.08,5679.95
ORD100136,2025-10-25,10566,Rahul Patel,East,Kolkata,Electronics,Accessories,Wireless Earbuds,2,3648.99,15.0,UPI,337.88,1166.85
ORD100137,2025-11-23,10113,Ananya Malhotra,West,Ahmedabad,Sports,Cricket,Cricket Bat,1,1456.14,5.0,Card,58.99,464.64
ORD100138,2025-07-13,10547,Priya Kumar,West,Surat,Home & Kitchen,Kitchen Appliances,Mixer Grinder,1,4295.95,10.0,UPI,318.71,1125.88
ORD100139,2025-02-14,10290,Sneha Patel,South,Kochi,Electronics,Wearables,Smart Watch,4,7464.48,5.0,UPI,240.26,4678.97
ORD100140,2025-07-03,10013,Vikram Malhotra,West,Surat,Electronics,Laptop,Laptop,1,55457.29,5.0,COD,420.28,14050.72
ORD100141,2025-06-07,10233,Arjun Malhotra,West,Mumbai,Home & Kitchen,Kitchen Appliances,Mixer Grinder,5,5215.72,5.0,Card,81.63,3608.52
ORD100142,2025-02-23,10456,Priya Mehta,East,Bhubaneswar,Clothing,Men Clothing,Jacket,1,3889.16,0.0,COD,375.46,289.47
ORD100143,2025-09-21,10471,Arjun Kumar,East,Patna,Electronics,Accessories,Wireless Earbuds,1,3087.44,5.0,UPI,294.41,778.72
ORD100144,2025-10-01,10154,Karan Joshi,West,Ahmedabad,Electronics,Smartphone,Mobile Phone,1,37088.37,0.0,COD,31.6,11681.86
ORD100145,2025-04-17,10577,Priya Verma,West,Mumbai,Sports,Fitness,Yoga Mat,1,1595.53,5.0,COD,404.59,0.43
ORD100146,2025-07-05,10421,Rohan Gupta,West,Surat,Sports,Team Sports,Football,1,1234.02,20.0,COD,313.86,25.57
ORD100147,2025-12-30,10536,Vikram Verma,South,Hyderabad,Home & Kitchen,Kitchen Appliances,Mixer Grinder,1,5542.49,20.0,UPI,229.67,723.96
ORD100148,2025-12-21,10553,Meera Singh,West,Mumbai,Clothing,Men Clothing,Jacket,2,2231.09,5.0,UPI,51.99,712.88
ORD100149,2025-05-17,10528,Aditi Mehta,South,Bengaluru,Clothing,Men Clothing,Jeans,2,1944.56,20.0,UPI,314.68,375.98
ORD100150,2025-01-03,10274,Sanya Sharma,South,Kochi,Sports,Footwear,Running Shoes,1,4508.3,5.0,COD,113.67,522.53
ORD100151,2025-02-23,10118,Rahul Mehta,South,Hyderabad,Home & Kitchen,Kitchen Appliances,Mixer Grinder,2,3704.17,15.0,UPI,189.22,1651.36
ORD100152,2025-04-21,10387,Meera Verma,North,Lucknow,Sports,Team Sports,Football,1,1677.89,5.0,COD,398.61,189.84
ORD100153,2025-04-14,10465,Nikhil Kumar,South,Bengaluru,Clothing,Men Clothing,Jacket,1,4499.95,10.0,UPI,190.68,961.08
ORD100154,2025-02-24,10033,Sneha Verma,North,Jaipur,Electronics,Audio,Bluetooth Speaker,2,3958.19,5.0,UPI,155.92,1437.84
ORD100155,2025-08-05,10225,Kavya Verma,West,Ahmedabad,Home & Kitchen,Home Furnishing,Bedsheet,1,993.48,0.0,COD,328.26,-192.87
ORD100156,2025-01-04,10218,Sneha Verma,East,Kolkata,Home & Kitchen,Kitchen,Cookware Set,4,5759.44,15.0,Net Banking,258.68,2280.73
ORD100157,2025-07-18,10492,Karan Joshi,North,Delhi,Electronics,Laptop,Laptop,1,73008.61,15.0,Card,91.72,10402.66
ORD100158,2025-11-17,10491,Aditi Shah,East,Patna,Electronics,Accessories,Wireless Earbuds,1,4686.45,5.0,Card,403.86,468.72
ORD100159,2025-09-05,10361,Arjun Shah,North,Delhi,Sports,Footwear,Running Shoes,1,5823.32,10.0,UPI,240.25,825.24
ORD100160,2025-07-21,10590,Neha Kumar,North,Chandigarh,Sports,Cricket,Cricket Bat,1,3859.87,10.0,COD,232.16,277.13
ORD100161,2025-01-11,10050,Isha Shah,East,Kolkata,Sports,Fitness,Dumbbells,1,3636.46,0.0,Card,239.26,758.09
ORD100162,2025-03-30,10357,Vivaan Gupta,West,Pune,Home & Kitchen,Home Furnishing,Bedsheet,4,934.58,0.0,UPI,35.96,578.46
ORD100163,2025-12-02,10245,Vikram Sharma,West,Mumbai,Sports,Team Sports,Football,5,1484.5,0.0,Card,331.7,2011.52
ORD100164,2025-08-30,10600,Kavya Singh,East,Patna,Beauty,Skincare,Face Cream,3,898.67,0.0,UPI,179.95,195.31
ORD100165,2025-02-24,10322,Rohan Sharma,North,Jaipur,Electronics,Laptop,Laptop,3,49292.97,5.0,UPI,231.97,28956.19
ORD100166,2025-05-09,10546,Aditya Shah,North,Delhi,Electronics,Accessories,Wireless Earbuds,1,4091.83,5.0,Card,346.79,202.12
ORD100167,2025-06-22,10274,Sanya Sharma,West,Ahmedabad,Electronics,Smartphone,Mobile Phone,1,33230.0,5.0,Card,130.97,10292.5
ORD100168,2025-04-15,10041,Pooja Sharma,West,Surat,Electronics,Accessories,Wireless Earbuds,1,4834.02,0.0,Card,124.45,1170.3
ORD100169,2025-10-09,10588,Rohan Malhotra,West,Surat,Home & Kitchen,Home Furnishing,Bedsheet,3,873.25,5.0,Net Banking,385.26,301.03
ORD100170,2025-04-19,10628,Rahul Kumar,West,Ahmedabad,Clothing,Men Clothing,Jeans,2,1372.27,5.0,COD,116.97,825.57
ORD100171,2025-10-07,10367,Neha Kumar,North,Jaipur,Beauty,Skincare,Face Wash,3,228.58,10.0,COD,178.09,-75.91
ORD100172,2025-12-31,10279,Nikhil Kumar,East,Kolkata,Home & Kitchen,Kitchen,Cookware Set,1,2337.04,15.0,UPI,204.96,280.03
ORD100173,2025-07-31,10317,Kavya Patel,North,Chandigarh,Electronics,Audio,Bluetooth Speaker,1,1809.14,10.0,Net Banking,124.2,213.83
ORD100174,2025-01-30,10306,Vikram Joshi,West,Mumbai,Beauty,Haircare,Shampoo,1,941.36,15.0,UPI,185.8,-69.38
ORD100175,2025-05-29,10310,Nikhil Patel,West,Ahmedabad,Electronics,Audio,Bluetooth Speaker,1,4160.28,5.0,COD,38.68,1186.74
ORD100176,2025-09-30,10505,Aarav Kumar,East,Kolkata,Sports,Cricket,Cricket Bat,2,2920.05,10.0,COD,73.06,1222.03
ORD100177,2025-09-28,10104,Aditya Gupta,East,Ranchi,Sports,Cricket,Cricket Bat,2,3877.95,20.0,Card,336.17,631.52
ORD100178,2025-03-11,10141,Rohan Gupta,South,Hyderabad,Electronics,Smartphone,Mobile Phone,1,44420.19,15.0,COD,335.36,8494.57
ORD100179,2025-02-01,10100,Isha Kumar,West,Mumbai,Clothing,Men Clothing,Jeans,1,2813.14,0.0,COD,82.24,403.41
ORD100180,2025-12-05,10315,Aarav Verma,East,Bhubaneswar,Clothing,Men Clothing,Jacket,2,3370.02,10.0,Card,159.71,1384.77
ORD100181,2025-02-12,10592,Vivaan Joshi,North,Lucknow,Beauty,Fragrance,Perfume,3,1303.27,5.0,UPI,395.99,365.81
ORD100182,2025-09-29,10626,Nikhil Shah,West,Ahmedabad,Clothing,Women Clothing,Kurta,5,1830.39,0.0,UPI,108.5,3322.14
ORD100183,2025-01-05,10097,Rahul Singh,South,Bengaluru,Clothing,Men Clothing,T-Shirt,3,844.98,0.0,COD,150.02,528.03
ORD100184,2025-05-21,10289,Rohan Malhotra,West,Mumbai,Electronics,Wearables,Smart Watch,3,9468.12,0.0,COD,359.81,5994.62
ORD100185,2025-02-26,10361,Arjun Shah,West,Surat,Electronics,Laptop,Laptop,1,65255.24,25.0,UPI,260.07,5880.66
